,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS32,1020,492,41314,37788,37379,39685,37768,38527,41125,39775,42148,42763,39413,41989,30489,39033,39729,34697,37333,31056,0,0,0,0,0,0,42652,44160,46214,42161,43039,49230,37903,35428,32330,31321,27515,24430,37646,40324,39478,37658,39711,38258,34043,33145,32158,36416,33508,32963,16332,17112,16832,17798,17747,17753,15425,16510,15039,16390,16296,16328,16172,16361,16219,16585,18610,17674,15946,16934,16307,15585,17149,17590,15885,15520,15258,15468,16075,16366,18519,19055,21408,19406,19944,19623,19970,20264,22626,22836,23535,23474,20982,21668,24089,24019,25480,25632
GS32,1020,493,41373,37918,37494,39813,37966,38694,41127,39808,42149,42719,39450,41938,30678,39058,39819,34779,37413,31295,0,0,0,0,0,0,42542,43984,46026,41868,42949,49001,38008,35473,32355,31349,27583,24555,37683,40465,39506,37603,39517,38319,34151,33509,32440,36722,33782,33188,16491,17292,16997,18011,17895,17954,15650,16702,15139,16563,16416,16470,16423,16546,16448,16794,18839,17872,16151,17120,16459,15721,17376,17798,16124,15757,15441,15602,16211,16559,18697,19225,21550,19519,20028,19700,20105,20307,22709,22811,23520,23469,21040,21739,24008,23999,25342,25520
GS32,1020,494,42021,38483,38079,40482,38492,39229,41645,40328,42640,43143,39941,42346,31146,39647,40429,35305,38050,31753,0,0,0,0,0,0,43113,44538,46461,42334,43217,49506,38521,36025,32921,31975,28187,25177,38197,41036,40085,38211,40211,38879,34879,34178,33146,37479,34408,33903,16666,17480,17183,18176,18109,18095,15839,16929,15278,16732,16664,16656,16602,16805,16688,16972,19115,18066,16356,17314,16635,15965,17473,17996,16349,15953,15625,15812,16403,16691,19137,19549,21908,19977,20507,20148,20442,20699,23123,23286,23870,23850,21397,21966,24265,24281,25677,25838
GS32,1020,495,42808,39179,38897,41238,39288,40059,42384,40952,43286,43841,40582,43004,31894,40356,41202,36180,38898,32495,0,0,0,0,0,0,43692,44956,47046,42819,43645,50004,39221,36783,33568,32795,28974,25931,38935,41873,40875,38919,40844,39557,35807,35220,33998,38387,35372,34720,17042,17971,17527,18576,18447,18490,16240,17305,15713,17106,16955,17022,17000,17157,17032,17397,19565,18465,16731,17725,17041,16279,17822,18337,16706,16275,16033,16142,16753,17102,19602,20098,22450,20411,20948,20617,20868,21054,23573,23645,24254,24261,21720,22312,24543,24528,25910,26073
GS32,1020,496,43242,39775,39302,41747,39772,40552,42752,41270,43602,44149,40648,43138,32207,40838,41574,36471,39302,32994,0,0,0,0,0,0,43857,45214,47151,42741,43678,49977,39618,37200,33936,33120,29304,26452,39297,42256,41254,39251,41277,39923,36532,35923,34812,39213,35943,35268,17277,18089,17660,18685,18646,18541,16406,17471,15866,17269,17171,17158,17186,17357,17243,17584,19766,18678,16914,17887,17198,16426,18000,18423,16939,16453,16141,16262,16860,17188,19915,20355,22831,20658,21301,20897,21167,21364,23792,23885,24430,24430,21949,22456,24675,24601,25996,26139
GS32,1020,497,44548,40994,40414,42850,40872,41809,43905,42262,44658,45029,41655,44026,33209,41986,42802,37714,40553,34095,0,0,0,0,0,0,44871,45882,48039,43608,44369,50708,40826,38250,35053,34253,30502,27474,40341,43319,42230,40276,42371,40985,37805,37192,36063,40692,37264,36601,17692,18496,18104,19123,19006,18999,16803,17942,16247,17694,17570,17546,17683,17834,17647,18016,20242,19119,17387,18317,17593,16817,18408,18919,17371,16901,16534,16674,17267,17618,20552,21078,23612,21285,21866,21624,21838,21956,24410,24426,25056,25014,22511,22992,25163,25058,26427,26610
GS32,1020,498,45649,42020,41522,44045,41969,42873,44868,43207,45383,45804,42302,44825,34127,42943,43884,38661,41628,35113,0,0,0,0,0,0,45609,46723,48655,44182,44952,51229,41881,39217,36009,35441,31551,28656,41238,44429,43254,41272,43377,41909,39167,38687,37591,42307,38619,37845,18061,18823,18353,19320,19132,19141,17189,18235,16501,17932,17882,17781,18021,18173,17954,18339,20490,19448,17703,18619,17861,17076,18713,19109,17628,17147,16873,16904,17577,17831,21236,21686,24327,22018,22565,22214,22450,22552,25004,24950,25597,25438,23047,23403,25586,25440,26728,26845
GS32,1020,499,47089,43337,42858,45435,43285,44322,46106,44182,46596,46995,43286,45679,35106,44209,45063,39849,43117,36469,0,0,0,0,0,0,46781,47484,49503,44938,45538,51979,43026,40421,37326,36712,32844,30032,42521,45648,44457,42320,44570,43182,40734,40444,39258,44156,40170,39257,18813,19538,18988,20048,19842,19813,17902,18934,17176,18701,18534,18457,18772,18892,18639,19036,21332,20136,18406,19288,18499,17653,19298,19761,18350,17814,17502,17520,18143,18461,21947,22457,25083,22686,23245,22908,23148,23188,25649,25568,26156,26025,23638,23885,26067,25821,27073,27271
GS32,1020,500,48406,44488,44040,46690,44580,45472,47160,45153,47543,47930,44124,46573,36135,45404,46359,41016,44464,37719,0,0,0,0,0,0,47519,48281,49958,45441,46277,52404,44203,41677,38438,37931,34221,31341,43593,46898,45621,43531,45626,44132,42172,42151,40953,45806,41642,40674,19241,19954,19427,20460,20209,20206,18361,19499,17612,19113,18940,18858,19290,19400,19240,19488,21853,20673,18867,19820,18966,18030,19749,20184,18808,18250,17856,17949,18617,18816,22568,23045,25856,23402,23940,23555,23862,23724,26286,26106,26668,26428,24091,24314,26469,26226,27373,27486
GS32,1020,501,49873,45871,45394,48008,45998,46830,48393,46166,48513,48556,44953,47348,37202,46695,47647,42416,45988,39154,0,0,0,0,0,0,48467,49116,50731,46044,46591,52944,45335,42899,39674,39353,35644,33014,44702,48374,46987,44703,46851,45443,44010,44065,42859,48023,43549,42316,19694,20394,19802,20806,20585,20447,18880,19898,18009,19513,19334,19269,19800,19956,19667,20039,22360,21147,19337,20309,19357,18414,20098,20550,19253,18685,18271,18306,18908,19114,23371,23868,26707,24043,24695,24325,24565,24351,26779,26640,27202,26869,24689,24698,26801,26456,27669,27682
GS32,1020,502,52637,48390,48073,50796,48616,49556,50944,48396,50729,50906,46983,49409,39214,49312,50532,44953,48795,41743,0,0,0,0,0,0,50795,51223,52662,47888,48297,54834,47957,45427,42123,42028,38264,35625,47134,50755,49383,47060,49319,47735,46930,47218,45795,51240,46543,45078,20797,21516,20775,21781,21511,21330,19930,21007,18962,20542,20378,20245,21046,21058,20743,21088,23646,22229,20355,21394,20383,19355,21142,21530,20379,19752,19260,19253,19906,20132,24755,25288,28251,25518,26121,25714,25921,25626,28193,27960,28368,27962,25844,25833,27954,27499,28619,28625
GS32,1020,503,53885,49755,49344,52004,49786,50877,51970,49468,51608,51807,47557,49975,40359,50448,51872,46276,50385,43198,0,0,0,0,0,0,51672,51917,53223,47996,48685,54997,49170,46698,43387,43609,39850,37408,48223,51990,50450,48175,50353,48853,48751,49242,47821,53422,48285,46673,21434,22002,21214,22149,21865,21782,20450,21610,19434,21021,20788,20639,21641,21682,21340,21659,24167,22775,20946,21826,20822,19737,21544,21994,20926,20215,19673,19720,20337,20564,25447,25935,28995,26149,26775,26308,26592,26237,28624,28351,28692,28364,26370,26161,28215,27574,28766,28701
GS32,1020,504,56434,51939,51361,54401,51998,53254,54232,51311,53522,53457,49174,51618,42147,52877,54197,48427,52879,45532,0,0,0,0,0,0,53513,53439,54652,49196,49765,56175,51298,48934,45613,45958,42243,39935,50239,54126,52715,50139,52399,50760,51473,52027,50503,56502,51024,49142,22334,22836,21932,22909,22569,22461,21339,22534,20235,21879,21568,21334,22492,22621,22224,22489,25161,23650,21829,22727,21530,20476,22245,22700,21755,20949,20422,20358,21057,21302,26669,27040,30195,27259,27980,27456,27662,27187,29657,29308,29578,29103,27258,26933,28839,28300,29380,29262
GS32,1020,505,59796,55070,54419,57457,55036,56215,57092,53721,56000,55869,51248,53684,44345,55606,57234,51305,56030,48522,0,0,0,0,0,0,55923,55582,56682,50876,51201,57910,54154,51580,48368,48954,45260,43125,52955,57011,55364,52724,55070,53353,54908,55852,54198,60404,54484,52306,23214,23744,22767,23729,23294,23189,22314,23363,21029,22655,22422,22197,23558,23538,23188,23488,26117,24656,22715,23620,22419,21181,23069,23574,22622,21835,21246,21137,21815,22050,28244,28650,31926,28719,29414,28912,29161,28540,31014,30466,30684,30220,28521,28016,29921,29224,30212,30074
GS32,1020,506,61689,56964,56409,59462,56855,58208,58798,55370,57465,57295,52547,54954,46162,57723,59323,53413,58445,50882,0,0,0,0,0,0,57597,56895,57768,51773,52032,58567,56168,53529,50359,51252,47796,45466,54628,58808,57103,54251,56781,54995,57337,58435,56830,63291,56897,54583,24115,24537,23465,24473,24025,23793,23170,24335,21823,23467,23225,22981,24487,24489,24070,24342,27112,25523,23553,24471,23167,21924,23863,24271,23529,22624,22005,21888,22590,22770,29143,29586,32993,29686,30403,29822,30062,29301,31808,31233,31353,30685,29240,28538,30415,29669,30613,30411
GS32,1020,507,64374,59296,58721,62102,59219,60688,61134,57365,59490,59274,54192,56596,47960,60216,62239,55841,61541,53587,0,0,0,0,0,0,59557,58716,59296,53115,53236,59829,58493,56175,52929,54062,50487,48649,56962,61189,59355,56580,59145,57125,60449,61768,60114,67023,59993,57409,25025,25373,24212,25178,24622,24335,24087,25200,22574,24312,23928,23742,25434,25427,24966,25344,28131,26406,24479,25329,23987,22673,24597,25034,24487,23447,22729,22619,23285,23525,30318,30874,34196,30861,31485,31057,31233,30302,32760,32059,32144,31408,30104,29284,31156,30207,31098,30785
GS32,1020,508,67378,62261,61547,65075,62137,63565,63895,59841,61947,61475,56230,58534,50356,63024,65137,58641,64855,56416,0,0,0,0,0,0,61735,60615,61181,54651,54546,61250,61422,58899,55676,57030,53748,51810,59402,64041,61924,58831,61552,59776,63780,65464,63676,70790,63470,60555,26201,26469,25272,26246,25734,25355,25295,26406,23697,25404,25047,24787,26712,26685,26149,26486,29383,27693,25625,26452,25029,23674,25734,26145,25630,24558,23790,23603,24378,24552,31606,32121,35638,32101,32841,32334,32466,31411,33851,33133,33154,32294,31180,30159,32069,30988,31814,31395
GS32,1020,509,70169,64645,63929,67558,64577,66097,66175,61730,63866,63215,57698,60184,51963,65585,67813,61061,67601,59274,0,0,0,0,0,0,63835,62384,62625,55670,55551,62485,63742,61349,58328,59841,56549,55023,61567,66338,64245,61028,63813,61804,66773,68832,66889,74278,66358,63392,27092,27420,26028,26995,26330,25988,26291,27417,24631,26273,25904,25579,27744,27679,27174,27450,30467,28645,26501,27406,25798,24360,26483,26928,26603,25403,24574,24376,25122,25289,32763,33285,36939,33307,33989,33384,33590,32452,34760,33937,33830,33013,32032,31058,32736,31544,32357,31840
GS32,1020,510,72668,67082,66389,70106,66834,68234,68443,63704,65807,65232,59310,61720,53852,68014,70570,63641,70602,62033,0,0,0,0,0,0,65788,64294,64277,57013,56719,63652,66172,63904,60872,62855,59659,58185,63787,68936,66402,63165,66075,64017,69851,72070,70057,78022,69461,66158,28028,28163,26780,27729,26963,26549,27120,28224,25200,27009,26611,26316,28657,28590,27984,28341,31355,29483,27360,28186,26532,25064,27143,27587,27403,26131,25344,25074,25743,25935,33821,34294,38010,34187,34954,34434,34549,33364,35588,34567,34512,33622,32917,31518,33351,32064,32746,32225
GS32,1020,511,74967,69418,68608,72218,68909,70419,70432,65614,67592,66751,60689,63065,55525,70132,73034,66042,73367,64669,0,0,0,0,0,0,67680,65788,65671,57959,57662,64719,68468,66347,63098,65508,62394,61135,65742,70858,68442,64921,67923,65917,72779,75018,73175,81267,72434,68913,28598,28621,27146,28029,27383,26957,27679,28756,25651,27540,27058,26728,29278,29317,28587,28937,32025,30133,27906,28756,27035,25472,27635,28140,27970,26700,25698,25569,26258,26381,34710,35074,39035,35123,35791,35158,35398,34002,36396,35199,35004,33999,33584,32172,33775,32410,33095,32608
GS32,1020,512,77418,71568,70728,74740,71161,72927,72831,67344,69532,68700,62349,64725,57370,72680,75815,68344,76208,67274,0,0,0,0,0,0,69658,67619,67265,59243,58806,65775,70602,68536,65431,68299,65092,63952,67772,73291,70458,66876,69935,67692,75527,77960,75967,84684,75308,71251,29598,29684,28150,29081,28203,27836,28789,29888,26818,28501,28072,27732,30445,30406,29736,30069,33309,31272,29046,29886,28044,26455,28583,29119,29168,27684,26755,26458,27149,27302,35601,36068,40081,36054,36791,36296,36267,34613,37095,35884,35573,34530,34288,32780,34404,32874,33495,32797
GS32,1020,513,79529,73264,72601,76657,73146,74836,74436,68896,71115,69977,63589,65966,58776,74657,77832,70319,78651,69505,0,0,0,0,0,0,71362,68855,68513,60224,59569,66770,72560,70291,67114,70423,67354,66578,69467,74715,72276,68310,71649,69142,77882,80559,78429,87258,77638,73513,30206,30199,28608,29511,28679,28153,29430,30478,27311,29184,28625,28244,31110,30975,30346,30687,33997,31890,29631,30480,28656,26932,29139,29605,29755,28246,27255,27057,27694,27869,36317,36678,40742,36598,37521,36958,36872,35250,37646,36363,35873,34827,34792,33222,34753,33219,33734,33041
GS32,1020,514,80935,74497,73598,77936,74196,75999,75657,69879,72009,71087,64356,66686,59412,75850,79216,71592,80148,71004,0,0,0,0,0,0,72180,69883,69180,60748,59953,67047,73664,71602,68824,72070,69096,68559,70293,76153,73370,69220,72803,70142,79288,82315,80005,88932,79017,74955,30465,30398,28733,29618,28770,28201,29784,30801,27500,29337,28794,28362,31499,31376,30611,30947,34256,32122,29919,30741,28887,26970,29290,29745,29991,28540,27437,27051,27711,27937,36632,37033,41219,36937,37772,37316,37132,35417,37727,36370,36093,34892,34865,33288,34859,33131,33742,33086
GS32,1020,515,82369,75670,74814,79186,75388,77196,76992,70924,72872,71893,64950,67090,60323,77222,80747,73172,82101,72629,0,0,0,0,0,0,73478,70760,69963,61256,60329,67526,75169,72830,69991,73670,70709,70374,71486,77425,74318,70469,73852,71321,81207,84501,81998,91382,80939,76658,30911,30755,28992,29900,29003,28580,30172,31091,27693,29736,29118,28800,31864,31792,31081,31343,34707,32609,30260,30983,29153,27363,29584,30138,30421,28882,27767,27485,28132,28313,36967,37324,41467,37291,38121,37436,37431,35741,37886,36567,36154,34994,35111,33433,34891,33185,33751,32968
GS32,1020,516,82873,76272,75216,79459,75811,77506,77352,71012,73152,71996,65112,67210,60443,77623,81562,73652,82903,73350,0,0,0,0,0,0,73696,71119,70285,61264,60412,67403,75682,73507,70764,74440,71836,71076,72121,77795,74773,70514,74090,71523,81947,85382,82934,92317,81724,77238,30900,30845,29025,29935,29071,28533,30305,31282,27948,29816,29238,28922,32059,31849,31244,31579,34837,32655,30371,31222,29314,27451,29673,30127,30545,29050,27911,27549,28287,28418,36873,37324,41431,37246,38037,37400,37346,35463,37659,36379,35954,34768,35084,33252,34716,33002,33481,32754
GS32,1020,517,82293,75691,74668,78860,75159,77146,76695,70498,72528,71490,64420,66644,59886,77260,81251,73303,82436,72918,0,0,0,0,0,0,73380,70506,69603,60525,59675,66619,75136,73197,70347,74132,71501,71208,71323,77051,74138,69973,73350,70890,81481,85065,82412,91990,81406,76652,30607,30526,28594,29544,28583,28093,29927,30897,27633,29459,28907,28669,31761,31499,30862,31235,34459,32350,30125,30848,28925,27086,29398,29913,30247,28655,27589,27225,27953,28105,36379,36735,40840,36694,37530,37033,36744,34908,37046,35669,35200,33988,34426,32750,34097,32411,32818,32053
GS32,1020,518,82607,75633,74588,79030,75304,77067,76735,70563,72624,71464,64424,66656,59916,77594,81512,73397,82837,73339,0,0,0,0,0,0,73721,70760,69694,60598,59543,66702,75468,73402,70764,74585,72199,71936,71626,77419,74316,70153,73652,70983,82036,85589,83083,92789,81845,77270,30302,30291,28463,29261,28421,27819,29655,30682,27421,29194,28721,28420,31571,31324,30641,30984,34307,32194,29967,30694,28704,27011,29137,29550,30003,28568,27472,27065,27771,27973,36136,36650,40666,36426,37221,36758,36592,34728,36869,35427,34879,33758,34310,32490,33911,32185,32631,31732
GS32,1020,519,80331,73549,72749,77320,73253,75159,74658,68617,70826,69573,62736,64642,58232,75736,79569,71781,81127,71788,0,0,0,0,0,0,71905,68940,68121,59071,58002,64902,73720,71716,69197,72998,70825,70521,69657,75441,72605,68230,71617,69204,80193,83892,81224,90792,79898,75569,29580,29405,27662,28569,27538,27173,28969,29962,26707,28522,28100,27719,30763,30571,29883,30168,33451,31484,29245,29965,27982,26341,28435,28926,29336,27841,26745,26374,27111,27280,35069,35437,39401,35223,36250,35623,35336,33643,35621,34270,33825,32706,33242,31485,32794,31145,31603,30763
GS32,1020,520,79636,72952,72016,76444,72652,74266,73965,67747,69822,68705,61887,63863,57476,74852,78819,70890,80203,70825,0,0,0,0,0,0,71042,68056,67059,58325,57223,64037,72846,70885,68340,72091,69893,69572,68995,74693,71729,67295,70693,68163,79316,82864,80473,89817,79098,74946,29106,28814,27154,27942,27028,26582,28374,29394,26297,27994,27557,27193,30194,30027,29352,29673,32771,30829,28697,29429,27522,25842,27911,28375,28815,27220,26234,25937,26574,26675,34428,34780,38638,34728,35519,34982,34775,32953,35048,33658,33154,32095,32656,30908,32230,30653,31030,30291
GS32,1020,521,77003,70351,69472,73824,70025,71789,71580,65452,67644,66166,59802,61724,55470,72263,76313,68619,77658,68603,0,0,0,0,0,0,68845,65981,65100,56209,55254,61728,70409,68493,66086,69974,67560,67308,66524,72065,69141,65069,68336,65855,76867,80312,77956,87125,76826,72199,28138,27965,26327,27121,26150,25797,27546,28516,25466,27088,26592,26376,29285,29168,28467,28712,31753,29894,27819,28609,26689,25036,27091,27495,27913,26479,25436,25208,25759,25895,33099,33416,37221,33342,34228,33646,33451,31769,33629,32417,31927,30784,31468,29782,31019,29461,29884,29072
GS32,1020,522,74176,67952,66907,70951,67474,69209,68786,63094,65172,63946,57641,59426,53381,70045,73634,66230,74965,66228,0,0,0,0,0,0,66443,63727,62885,54279,53223,59706,68062,66138,63699,67371,65254,65010,64169,69632,66733,62694,65912,63486,74241,77581,75376,84388,74086,69879,27043,26901,25220,26017,25172,24737,26515,27309,24447,26039,25637,25315,28202,28055,27285,27653,30507,28733,26734,27439,25687,24037,26063,26502,26904,25458,24551,24140,24816,24916,31760,32154,35748,32083,32766,32325,32186,30518,32295,31136,30654,29613,30235,28579,29867,28334,28701,27948
GS32,1020,523,71871,65898,64863,68922,65391,67037,66749,61174,63144,62002,55702,57570,51581,67808,71434,64157,72578,64138,0,0,0,0,0,0,64488,61895,61081,52673,51754,57894,66078,64228,61820,65361,63193,63038,62006,67521,64738,60727,64013,61585,71843,75210,72991,81790,71866,67859,26160,25949,24351,25133,24358,23938,25572,26463,23624,25201,24798,24499,27247,27090,26484,26769,29530,27777,25895,26543,24751,23279,25242,25664,26003,24675,23707,23422,24034,24075,30657,30987,34587,31015,31658,31229,31097,29455,31302,30075,29708,28594,29258,27626,28889,27319,27734,27111
GS32,1020,524,68012,62193,61451,65286,62000,63356,63266,57995,59750,58685,52823,54533,48943,64240,67782,60643,68845,60804,0,0,0,0,0,0,61284,58677,57859,49967,49082,54881,62681,60699,58599,61851,59869,59664,59112,63977,61435,57640,60556,58201,68266,71382,69327,77550,68316,64372,24792,24575,23067,23786,23039,22749,24199,25006,22386,23904,23417,23145,25810,25613,25126,25321,27973,26351,24450,25024,23490,22053,23895,24226,24591,23322,22431,22166,22681,22798,28966,29229,32622,29199,29948,29445,29288,27773,29604,28456,28040,27104,27593,26156,27297,25893,26231,25610
GS32,1020,525,65319,59657,59013,62772,59396,60817,60703,55631,57362,56287,50682,52454,46795,61540,64933,58214,66242,58223,0,0,0,0,0,0,58902,56627,55649,48102,47243,52872,59982,58382,56114,59291,57264,57127,56525,61324,58820,55283,58065,55913,65496,68503,66371,74498,65499,61712,23667,23530,22073,22802,22109,21770,23231,23941,21443,22857,22457,22290,24694,24543,23978,24240,26718,25256,23440,24101,22502,21055,22810,23295,23513,22396,21537,21206,21749,21949,27718,27994,31212,27989,28605,28247,28077,26593,28242,27262,26869,25916,26507,25084,26200,24820,25157,24595
GS32,1020,526,62170,56829,55978,59556,56543,57955,58021,52931,54612,53664,48212,49874,44560,58696,61742,55448,63024,55393,0,0,0,0,0,0,56095,53974,53143,45776,45000,50531,57203,55458,53375,56394,54522,54129,53910,58423,55991,52496,55312,53204,62416,65189,63139,70830,62384,58715,22409,22330,21028,21683,20922,20643,21960,22697,20373,21687,21297,21077,23414,23247,22817,22967,25430,24053,22208,22809,21332,20031,21680,22167,22350,21226,20490,20189,20721,20833,26365,26599,29648,26589,27205,26805,26719,25336,26921,25983,25568,24732,25202,23974,24963,23677,24101,23370
GS32,1020,527,59156,54090,53321,56748,53692,55183,55242,50532,52154,51155,45998,47611,42269,55823,58919,52705,59854,52662,0,0,0,0,0,0,53626,51411,50643,43737,42988,48201,54410,52839,50769,53593,51656,51415,51179,55604,53428,50046,52636,50729,59289,61945,60059,67382,59286,55861,21378,21266,19998,20648,19975,19705,20960,21697,19370,20671,20292,20149,22275,22155,21688,21836,24200,22809,21250,21782,20329,19109,20677,21133,21346,20251,19514,19213,19642,19894,24979,25265,28162,25242,25808,25450,25370,24116,25626,24648,24334,23532,24019,22733,23738,22646,22916,22360
GS32,1020,528,57310,52271,51545,54887,51982,53081,53485,48912,50461,49527,44530,46008,40980,53981,56808,50972,57841,50938,0,0,0,0,0,0,51906,49877,49094,42309,41701,46679,52623,51063,49066,51647,49916,49497,49636,53936,51706,48408,51016,49022,57292,59988,58070,65198,57268,54165,20431,20334,19173,19758,19139,18861,20028,20793,18560,19840,19415,19259,21438,21214,20688,20959,23240,21854,20317,20892,19506,18283,19884,20232,20400,19429,18661,18398,18884,19063,24163,24397,27120,24385,24939,24598,24496,23295,24828,23903,23587,22771,23203,21985,23035,21899,22182,21680
GS32,1020,529,55108,50320,49599,52757,50128,51369,51545,47074,48646,47902,42958,44485,39453,52135,54928,48955,55709,48948,0,0,0,0,0,0,49970,48089,47336,40845,40228,45126,50776,49049,47113,49548,47969,47425,47826,51901,49760,46553,49049,47208,55092,57631,55876,62825,55101,51995,19690,19629,18503,19109,18515,18222,19230,19980,17899,19114,18798,18606,20584,20489,20032,20263,22357,21095,19545,20106,18838,17737,19173,19557,19651,18735,18025,17718,18247,18397,23269,23561,26245,23498,24013,23642,23672,22419,23918,23045,22765,22022,22305,21198,22228,21125,21460,20992
GS32,1020,530,53459,48656,47898,51098,48461,49652,49821,45669,47211,46429,41593,43090,38058,50343,53039,47382,53684,47189,0,0,0,0,0,0,48455,46586,46046,39758,39102,43939,49137,47399,45720,48123,46404,45947,46428,50392,48316,45170,47570,45732,53352,55753,54075,60635,53403,50381,19250,19161,18104,18640,18103,17817,18846,19547,17471,18663,18319,18121,20090,20011,19493,19796,21839,20581,19066,19637,18374,17287,18756,19121,19172,18252,17572,17340,17760,17934,22460,22845,25435,22798,23282,23003,22890,21787,23271,22332,22106,21357,21723,20649,21590,20514,20943,20351
GS32,1020,531,51551,47041,46446,49359,46836,47889,48279,44127,45673,44878,40233,41743,36758,48479,51240,45832,51861,45476,0,0,0,0,0,0,46826,45119,44548,38447,37910,42523,47354,45758,44047,46335,44501,44156,44794,48603,46639,43638,45979,44327,51436,53715,52195,58510,51498,48577,18513,18497,17401,17969,17449,17187,18129,18784,16842,17987,17623,17515,19323,19214,18808,19001,21051,19801,18442,18866,17720,16667,18053,18390,18472,17584,16914,16700,17070,17315,21803,22095,24582,21992,22591,22297,22212,21030,22465,21753,21413,20728,21003,20037,20944,19996,20252,19799
GS32,1020,532,49634,45462,44780,47665,45199,46296,46546,42580,44127,43446,38935,40365,35486,47000,49497,44100,50066,44044,0,0,0,0,0,0,45372,43592,43142,37319,36655,41226,45707,44337,42490,44683,42974,42537,43251,46932,45027,42119,44502,42753,49541,51666,50254,56360,49604,46852,17916,17935,16845,17423,16894,16650,17520,18243,16292,17390,17091,16940,18764,18570,18222,18425,20374,19229,17816,18319,17190,16162,17478,17848,17890,17018,16356,16192,16617,16752,21038,21323,23730,21366,21800,21522,21489,20374,21796,20964,20778,20138,20339,19391,20325,19375,19731,19195
GS32,1020,533,48140,43866,43317,46088,43795,44752,45104,41284,42710,42036,37723,39025,34299,45297,47791,42674,48326,42375,0,0,0,0,0,0,43826,42215,41774,36080,35577,39937,44346,42734,41060,43042,41378,40953,41857,45448,43503,40819,43016,41323,47851,49898,48530,54411,47810,45264,17228,17286,16299,16787,16359,16043,16875,17545,15686,16727,16487,16306,18029,17966,17527,17725,19618,18454,17135,17589,16546,15547,16856,17144,17283,16361,15746,15561,15977,16153,20281,20610,22983,20638,21128,20813,20745,19809,21034,20374,20136,19526,19695,18772,19687,18744,19118,18708
GS32,1020,534,46258,42189,41649,44333,41969,42820,43271,39743,41105,40369,36298,37631,32963,43441,45972,40934,46360,40665,0,0,0,0,0,0,42126,40641,40264,34730,34349,38503,42481,41074,39331,41270,39668,39219,40268,43634,41921,39234,41342,39738,45865,47812,46418,52142,45880,43343,16616,16555,15628,16179,15737,15509,16231,16841,15087,16051,15829,15736,17291,17223,16890,17044,18814,17813,16479,16969,15898,14927,16260,16536,16561,15777,15167,15021,15383,15536,19546,19801,22066,19816,20264,20018,19995,19055,20325,19655,19517,18780,18933,18111,18973,18136,18476,18035
GS32,1020,535,44947,40999,40375,42958,40848,41669,42057,38555,39920,39247,35234,36456,31958,42263,44443,39710,44904,39381,0,0,0,0,0,0,40861,39431,39035,33733,33287,37560,41238,39867,38135,40022,38435,37889,38962,42383,40600,37986,40130,38522,44435,46361,44860,50602,44459,42103,16088,16056,15208,15708,15300,15099,15791,16381,14696,15639,15377,15330,16794,16734,16377,16584,18377,17304,16063,16543,15511,14565,15750,16118,16104,15312,14754,14530,14999,15147,18999,19241,21523,19254,19646,19412,19397,18529,19724,19094,18909,18321,18442,17521,18412,17624,17930,17516
GS32,1020,536,43902,40055,39428,41997,39713,40679,41045,37561,39018,38240,34548,35874,31165,41289,43396,38778,43944,38336,0,0,0,0,0,0,39886,38534,38202,33099,32613,36693,40149,38829,37207,38999,37348,36923,38061,41406,39646,37222,39225,37710,43428,45076,43765,49252,43342,41084,15728,15677,14855,15419,14942,14715,15387,16020,14235,15246,15045,14872,16439,16330,15967,16155,17878,16848,15628,16106,15103,14188,15397,15709,15683,14894,14353,14173,14570,14711,18557,18797,20961,18797,19259,18956,18928,18088,19336,18644,18440,17942,18005,17182,18015,17282,17602,17204
GS32,1020,537,42074,38287,37779,40381,38131,38918,39348,36089,37461,36716,33123,34326,29901,39612,41751,37139,41970,36741,0,0,0,0,0,0,38217,37182,36770,31828,31319,35287,38578,37156,35602,37318,35652,35277,36570,39652,38089,35636,37658,36129,41528,43300,41895,47124,41495,39200,15122,15067,14309,14780,14381,14195,14781,15382,13713,14695,14433,14313,15705,15688,15334,15520,17205,16188,15006,15510,14557,13671,14845,15096,15095,14358,13839,13677,14017,14131,17829,18085,20095,18101,18417,18254,18160,17360,18542,17903,17784,17246,17315,16544,17404,16605,16985,16598
GS32,1020,538,40715,37108,36711,39047,36957,37885,38186,34894,36431,35842,32218,33361,29024,38341,40318,35912,40623,35491,0,0,0,0,0,0,37236,36061,35682,30874,30502,34348,37388,36071,34408,36069,34636,34156,35400,38456,37006,34554,36458,35046,40276,41893,40509,45694,40217,37967,14634,14587,13818,14390,13897,13771,14335,14843,13343,14201,14043,13910,15233,15159,14890,15079,16665,15717,14561,15018,14037,13221,14324,14644,14643,13964,13439,13218,13604,13714,17327,17577,19541,17518,17986,17700,17642,16862,18014,17454,17337,16783,16864,16068,16906,16112,16466,16167
